Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,ZA,TZ,,4,9,trophies,,H,W
2018,I,Gorilla beringei,Mammalia,Primates,Hominidae,Gorilla,US,UG,,,43.15,specimens,g,S,W
2018,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,CA,UG,,800,,specimens,g,S,W
2018,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,DE,UG,,,1,specimens,g,S,W
2018,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,DE,UG,,1,,specimens,,S,W
2018,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,JP,UG,,50,,hair,g,S,W
2018,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,JP,UG,,,200,specimens,g,S,W
2018,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,JP,UG,,50,,teeth,g,S,W
2018,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,US,TZ,,4,,specimens,,S,W
2018,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,US,UG,,,19,specimens,ml,S,F
2018,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,US,UG,,,822,specimens,ml,S,W
2018,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,US,UG,,,2,specimens,,S,F
2018,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,US,UG,,,46,specimens,,S,W
2018,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,ZM,SS,,9,,live,,S,I
2018,I,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,ES,KE,KE,,1,live,,P,O
2018,I,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,SE,KE,KE,,2,live,,P,C
2018,I,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,SE,KE,SE,1,,live,,P,C
2018,I,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,ZA,UG,,1,1,live,,P,C
2018,I,Ceratotherium simum simum,Mammalia,Perissodactyla,Rhinocerotidae,Ceratotherium,ZA,KE,,,3.42,specimens,kg,S,W
2018,I,Ceratotherium simum simum,Mammalia,Perissodactyla,Rhinocerotidae,Ceratotherium,ZA,KE,,54,,specimens,,S,W
2018,I,Diceros bicornis,Mammalia,Perissodactyla,Rhinocerotidae,Diceros,ZA,KE,,60,,specimens,,S,W
2018,II,Hieraaetus spilogaster,Aves,Falconiformes,Accipitridae,Hieraaetus,TH,CD,,1,2,live,,T,W
2018,II,Spizaetus africanus,Aves,Falconiformes,Accipitridae,Spizaetus,TH,CD,,2,2,live,,T,W
2018,II,Stephanoaetus coronatus,Aves,Falconiformes,Accipitridae,Stephanoaetus,TH,CD,,2,2,live,,T,W
2018,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,US,KE,XX,,1.345,specimens,ml,M,W
2018,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,US,KE,CO,100,,leather products (small),,T,I
2018,II,Balaeniceps rex,Aves,Ciconiiformes,Balaenicipitidae,Balaeniceps,CN,CD,,,14,live,,T,W
2018,II,Balaeniceps rex,Aves,Ciconiiformes,Balaenicipitidae,Balaeniceps,TH,CD,,,2,live,,T,W
2018,II,Cactaceae spp.,,Caryophyllales,Cactaceae,,US,KE,,8000,,live,Number of specimens,T,A
2018,II,Disocactus anguliger,,Caryophyllales,Cactaceae,Disocactus,NL,TZ,,7425,7447,stems,,T,A
2018,II,Pfeiffera boliviana,,Caryophyllales,Cactaceae,Pfeiffera,NL,TZ,,11116,5040,stems,,T,A
2018,II,Pseudorhipsalis ramulosa,,Caryophyllales,Cactaceae,Pseudorhipsalis,NL,TZ,,9337,13546,stems,,T,A
2018,II,Rhipsalis spp.,,Caryophyllales,Cactaceae,Rhipsalis,DK,KE,,70,,live,,T,A
2018,II,Rhipsalis spp.,,Caryophyllales,Cactaceae,Rhipsalis,NL,TZ,,,9850,stems,,T,A
2018,II,Rhipsalis baccifera,,Caryophyllales,Cactaceae,Rhipsalis,DK,KE,KE,,70000,stems,,T,A
2018,II,Rhipsalis baccifera,,Caryophyllales,Cactaceae,Rhipsalis,DK,KE,,70,,live,,T,A
2018,II,Rhipsalis baccifera,,Caryophyllales,Cactaceae,Rhipsalis,NL,TZ,,48071,,live,,T,A
2018,II,Rhipsalis baccifera,,Caryophyllales,Cactaceae,Rhipsalis,NL,TZ,,1185387,1253951,stems,,T,A
2018,II,Rhipsalis burchellii,,Caryophyllales,Cactaceae,Rhipsalis,DK,KE,KE,,100000,live,,T,A
2018,II,Rhipsalis burchellii,,Caryophyllales,Cactaceae,Rhipsalis,DK,KE,KE,,175000,stems,,T,A
2018,II,Rhipsalis burchellii,,Caryophyllales,Cactaceae,Rhipsalis,DK,KE,,160,,live,,T,A
2018,II,Rhipsalis burchellii,,Caryophyllales,Cactaceae,Rhipsalis,NL,KE,,10800,,stems,,T,A
2018,II,Rhipsalis burchellii,,Caryophyllales,Cactaceae,Rhipsalis,NL,TZ,,175624,197487,stems,,T,A
2018,II,Rhipsalis burchellii,,Caryophyllales,Cactaceae,Rhipsalis,US,KE,KE,,8000,stems,,T,A
2018,II,Rhipsalis cereuscula,,Caryophyllales,Cactaceae,Rhipsalis,AU,KE,KE,,5000,stems,,T,A
2018,II,Rhipsalis cereuscula,,Caryophyllales,Cactaceae,Rhipsalis,AU,KE,,5000,,live,Number of specimens,T,A
2018,II,Rhipsalis cereuscula,,Caryophyllales,Cactaceae,Rhipsalis,DK,KE,KE,,100000,live,,T,A
2018,II,Rhipsalis cereuscula,,Caryophyllales,Cactaceae,Rhipsalis,DK,KE,KE,,175000,stems,,T,A
2018,II,Rhipsalis cereuscula,,Caryophyllales,Cactaceae,Rhipsalis,DK,KE,,260,,live,,T,A
2018,II,Rhipsalis cereuscula,,Caryophyllales,Cactaceae,Rhipsalis,NL,KE,,10800,,stems,,T,A
2018,II,Rhipsalis cereuscula,,Caryophyllales,Cactaceae,Rhipsalis,NL,TZ,,29500,,live,,T,A
2018,II,Rhipsalis cereuscula,,Caryophyllales,Cactaceae,Rhipsalis,NL,TZ,,95386,107316,stems,,T,A
2018,II,Rhipsalis cereuscula,,Caryophyllales,Cactaceae,Rhipsalis,US,KE,KE,,8000,stems,,T,A
2018,II,Rhipsalis clavata,,Caryophyllales,Cactaceae,Rhipsalis,DK,KE,KE,,70000,stems,,T,A
2018,II,Rhipsalis clavata,,Caryophyllales,Cactaceae,Rhipsalis,DK,KE,,70,,live,,T,A
2018,II,Rhipsalis clavata,,Caryophyllales,Cactaceae,Rhipsalis,NL,TZ,,24489,33174,stems,,T,A
2018,II,Rhipsalis ewaldiana,,Caryophyllales,Cactaceae,Rhipsalis,DK,KE,KE,,70000,stems,,T,A
2018,II,Rhipsalis ewaldiana,,Caryophyllales,Cactaceae,Rhipsalis,DK,KE,,70,,live,,T,A
2018,II,Rhipsalis ewaldiana,,Caryophyllales,Cactaceae,Rhipsalis,NL,TZ,,56935,56096,stems,,T,A
2018,II,Rhipsalis mesembryanthemoides,,Caryophyllales,Cactaceae,Rhipsalis,DK,KE,KE,,70000,stems,,T,A
2018,II,Rhipsalis mesembryanthemoides,,Caryophyllales,Cactaceae,Rhipsalis,NL,TZ,,31224,,live,,T,A
2018,II,Rhipsalis mesembryanthemoides,,Caryophyllales,Cactaceae,Rhipsalis,NL,TZ,,120214,139953,stems,,T,A
2018,II,Rhipsalis pilocarpa,,Caryophyllales,Cactaceae,Rhipsalis,NL,TZ,,38108,24675,stems,,T,A
2018,II,Rhipsalis pulchra,,Caryophyllales,Cactaceae,Rhipsalis,NL,TZ,,21352,30127,stems,,T,A
2018,II,Rhipsalis teres,,Caryophyllales,Cactaceae,Rhipsalis,DK,KE,KE,,130000,stems,,T,A
2018,II,Rhipsalis teres,,Caryophyllales,Cactaceae,Rhipsalis,DK,KE,KE,,10000,stems,,T,D
2018,II,Rhipsalis teres,,Caryophyllales,Cactaceae,Rhipsalis,DK,KE,,140,,live,,T,A
2018,II,Rhipsalis teres,,Caryophyllales,Cactaceae,Rhipsalis,NL,TZ,,41979,72399,stems,,T,A
2018,II,Vulpes zerda,Mammalia,Carnivora,Canidae,Vulpes,US,SS,,20,,live,,T,W
2018,II,Cercocebus agilis,Mammalia,Primates,Cercopithecidae,Cercocebus,TH,CD,,,10,live,,T,W
2018,II,Cercocebus chrysogaster,Mammalia,Primates,Cercopithecidae,Cercocebus,BJ,CD,,,2,live,,T,W
2018,II,Cercocebus chrysogaster,Mammalia,Primates,Cercopithecidae,Cercocebus,PK,CD,,,2,live,,T,W
2018,II,Cercocebus chrysogaster,Mammalia,Primates,Cercopithecidae,Cercocebus,UZ,CD,,25,25,live,,T,W
2018,II,Cercopithecus ascanius,Mammalia,Primates,Cercopithecidae,Cercopithecus,AM,CD,,,10,live,,T,W
2018,II,Cercopithecus ascanius,Mammalia,Primates,Cercopithecidae,Cercopithecus,BD,CD,,,5,live,,T,W
2018,II,Cercopithecus ascanius,Mammalia,Primates,Cercopithecidae,Cercopithecus,CN,CD,,,25,live,,T,W
2018,II,Cercopithecus ascanius,Mammalia,Primates,Cercopithecidae,Cercopithecus,JP,UG,,50,,hair,g,S,W
2018,II,Cercopithecus ascanius,Mammalia,Primates,Cercopithecidae,Cercopithecus,JP,UG,,,100,specimens,g,S,W
2018,II,Cercopithecus ascanius,Mammalia,Primates,Cercopithecidae,Cercopithecus,PK,CD,,,10,live,,T,W
2018,II,Cercopithecus ascanius,Mammalia,Primates,Cercopithecidae,Cercopithecus,TH,CD,,20,20,live,,T,W
2018,II,Cercopithecus ascanius,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,CD,,,11,specimens,g,S,W
2018,II,Cercopithecus ascanius,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,CD,,11,,specimens,,S,W
2018,II,Cercopithecus ascanius,Mammalia,Primates,Cercopithecidae,Cercopithecus,UZ,CD,,90,180,live,,T,W
2018,II,Cercopithecus cephus,Mammalia,Primates,Cercopithecidae,Cercopithecus,UA,CD,,,4,live,,T,W
2018,II,Cercopithecus dryas,Mammalia,Primates,Cercopithecidae,Cercopithecus,UA,CD,,,3,live,,T,W
2018,II,Cercopithecus dryas,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,CD,,1,,skeletons,,S,W
2018,II,Cercopithecus dryas,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,CD,,1,,skins,,S,W
2018,II,Cercopithecus dryas,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,CD,,,2,specimens,g,S,W
2018,II,Cercopithecus dryas,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,CD,,4,,specimens,,S,W
2018,II,Cercopithecus hamlyni,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,CD,,,1,specimens,g,S,W
2018,II,Cercopithecus hamlyni,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,CD,,1,,specimens,,S,W
2018,II,Cercopithecus hamlyni,Mammalia,Primates,Cercopithecidae,Cercopithecus,UZ,CD,,1,1,live,,T,W
2018,II,Cercopithecus lhoesti,Mammalia,Primates,Cercopithecidae,Cercopithecus,BD,CD,,,4,live,,T,W
2018,II,Cercopithecus lhoesti,Mammalia,Primates,Cercopithecidae,Cercopithecus,JP,UG,,50,,hair,g,S,W
2018,II,Cercopithecus lhoesti,Mammalia,Primates,Cercopithecidae,Cercopithecus,JP,UG,,,100,specimens,g,S,W
2018,II,Cercopithecus lhoesti,Mammalia,Primates,Cercopithecidae,Cercopithecus,TH,CD,,,5,live,,T,W
2018,II,Cercopithecus lhoesti,Mammalia,Primates,Cercopithecidae,Cercopithecus,UZ,CD,,3,3,live,,T,W
2018,II,Cercopithecus lomamiensis,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,CD,,1,,skeletons,,S,W
2018,II,Cercopithecus lomamiensis,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,CD,,2,,specimens,,S,W
2018,II,Cercopithecus mitis,Mammalia,Primates,Cercopithecidae,Cercopithecus,JP,UG,,50,,hair,g,S,W
2018,II,Cercopithecus mitis,Mammalia,Primates,Cercopithecidae,Cercopithecus,JP,UG,,,100,specimens,g,S,W
2018,II,Cercopithecus mitis,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,TZ,,6,,specimens,,S,W
2018,II,Cercopithecus mitis,Mammalia,Primates,Cercopithecidae,Cercopithecus,UZ,CD,,1,1,live,,T,W
2018,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,AM,CD,,,10,live,,T,W
2018,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,BJ,CD,,,18,live,,T,W
2018,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,CN,CD,,,45,live,,T,W
2018,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,PK,CD,,,8,live,,T,W
2018,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,TH,CD,,15,22,live,,T,W
2018,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,UA,CD,,,8,live,,T,W
2018,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,CD,,1,,specimens,,S,W
2018,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,UZ,CD,,50,50,live,,T,W
2018,II,Cercopithecus nictitans,Mammalia,Primates,Cercopithecidae,Cercopithecus,BD,CD,,,10,live,,T,W
2018,II,Cercopithecus nictitans,Mammalia,Primates,Cercopithecidae,Cercopithecus,BJ,CD,,,10,live,,T,W
2018,II,Cercopithecus nictitans,Mammalia,Primates,Cercopithecidae,Cercopithecus,CN,CD,,,10,live,,T,W
2018,II,Cercopithecus nictitans,Mammalia,Primates,Cercopithecidae,Cercopithecus,PK,CD,,,10,live,,T,W
2018,II,Cercopithecus nictitans,Mammalia,Primates,Cercopithecidae,Cercopithecus,TH,CD,,5,5,live,,T,W
2018,II,Cercopithecus nictitans,Mammalia,Primates,Cercopithecidae,Cercopithecus,UA,CD,,,9,live,,T,W
2018,II,Cercopithecus nictitans,Mammalia,Primates,Cercopithecidae,Cercopithecus,UZ,CD,,4,4,live,,T,W
2018,II,Cercopithecus wolfi,Mammalia,Primates,Cercopithecidae,Cercopithecus,CN,CD,,,5,live,,T,W
2018,II,Cercopithecus wolfi,Mammalia,Primates,Cercopithecidae,Cercopithecus,TH,CD,,6,10,live,,T,W
2018,II,Cercopithecus wolfi,Mammalia,Primates,Cercopithecidae,Cercopithecus,UA,CD,,,8,live,,T,W
2018,II,Cercopithecus wolfi,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,CD,,4,,specimens,,S,W
2018,II,Cercopithecus wolfi,Mammalia,Primates,Cercopithecidae,Cercopithecus,UZ,CD,,10,10,live,,T,W
2018,II,Chlorocebus pygerythrus,Mammalia,Primates,Cercopithecidae,Chlorocebus,SY,UG,,,70,live,,T,W
2018,II,Colobus angolensis,Mammalia,Primates,Cercopithecidae,Colobus,TH,CD,,,4,live,,T,W
2018,II,Colobus angolensis,Mammalia,Primates,Cercopithecidae,Colobus,US,KE,,54,,skeletons,,S,W
2018,II,Colobus guereza,Mammalia,Primates,Cercopithecidae,Colobus,JP,UG,,50,,hair,g,S,W
2018,II,Colobus guereza,Mammalia,Primates,Cercopithecidae,Colobus,JP,UG,,,100,specimens,g,S,W
2018,II,Lophocebus aterrimus,Mammalia,Primates,Cercopithecidae,Lophocebus,BD,CD,,,9,live,,T,W
2018,II,Lophocebus aterrimus,Mammalia,Primates,Cercopithecidae,Lophocebus,BJ,CD,,,11,live,,T,W
2018,II,Lophocebus aterrimus,Mammalia,Primates,Cercopithecidae,Lophocebus,CN,CD,,,50,live,,T,W
2018,II,Lophocebus aterrimus,Mammalia,Primates,Cercopithecidae,Lophocebus,PK,CD,,,10,live,,T,W
2018,II,Lophocebus aterrimus,Mammalia,Primates,Cercopithecidae,Lophocebus,TH,CD,,4,9,live,,T,W
2018,II,Lophocebus aterrimus,Mammalia,Primates,Cercopithecidae,Lophocebus,UA,CD,,,8,live,,T,W
2018,II,Lophocebus aterrimus,Mammalia,Primates,Cercopithecidae,Lophocebus,US,CD,,1,,specimens,,S,W
2018,II,Lophocebus aterrimus,Mammalia,Primates,Cercopithecidae,Lophocebus,UZ,CD,,52,52,live,,T,W
2018,II,Miopithecus talapoin,Mammalia,Primates,Cercopithecidae,Miopithecus,TH,CD,,6,6,live,,T,W
2018,II,Miopithecus talapoin,Mammalia,Primates,Cercopithecidae,Miopithecus,UZ,CD,,75,85,live,,T,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,CA,KE,,,171,specimens,g,T,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,CA,KE,,,45,specimens,ml,S,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,DK,UG,,,1,trophies,,H,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,FR,TZ,,,1,trophies,,H,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,IT,TZ,,,1,trophies,,H,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,LT,TZ,,,1,trophies,,H,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,RU,TZ,,,1,trophies,,H,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,US,KE,,288,,specimens,ml,S,C
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,US,KE,,,2,specimens,ml,S,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,US,KE,,,150,specimens,,S,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,US,TZ,,,1,skins,,H,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,US,TZ,,2,3,skulls,,H,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,US,TZ,,4,2,trophies,,H,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,US,UG,,1,,skins,,H,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,US,UG,,2,,skulls,,H,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,US,UG,,4,7,trophies,,H,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,AT,TZ,,,1,skulls,,H,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,BE,TZ,,,1,trophies,,H,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,BG,TZ,,,2,skulls,,H,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,BG,TZ,,2,1,trophies,,H,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,DE,TZ,,,1,trophies,,H,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,DK,TZ,,,1,skulls,,H,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,DK,TZ,,,1,trophies,,H,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,ES,TZ,,1,3,skulls,,H,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,ES,TZ,,1,,trophies,,H,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,FR,TZ,,,2,trophies,,H,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,HU,TZ,,,1,skulls,,H,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,HU,TZ,,,1,trophies,,H,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,SK,TZ,,,3,trophies,,H,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,US,KE,XX,,15,bones,,S,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,US,KE,,15,,bones,,S,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,US,KE,,,71.93,specimens,g,S,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,US,KE,,,448,specimens,ml,S,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,US,TZ,,,3,skulls,,H,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,US,TZ,,8,5,trophies,,H,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,ZA,TZ,,,2,skulls,,H,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,ZA,TZ,,2,1,trophies,,H,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,ZA,TZ,,1,,trophies,,,W
2018,II,Papio ursinus,Mammalia,Primates,Cercopithecidae,Papio,BE,TZ,XX,1,,trophies,,H,W
2018,II,Papio ursinus,Mammalia,Primates,Cercopithecidae,Papio,DK,UG,XX,1,,trophies,,H,W
2018,II,Papio ursinus,Mammalia,Primates,Cercopithecidae,Papio,HU,TZ,XX,1,,trophies,,H,W
2018,II,Piliocolobus gordonorum,Mammalia,Primates,Cercopithecidae,Piliocolobus,US,TZ,,18,,specimens,,S,W
2018,II,Furcifer pardalis,Reptilia,Sauria,Chamaeleonidae,Furcifer,DE,KE,,,250,live,,T,C
2018,II,Kinyongia boehmei,Reptilia,Sauria,Chamaeleonidae,Kinyongia,CZ,KE,,,40,live,,T,C
2018,II,Kinyongia boehmei,Reptilia,Sauria,Chamaeleonidae,Kinyongia,DE,KE,,310,235,live,,T,C
2018,II,Kinyongia boehmei,Reptilia,Sauria,Chamaeleonidae,Kinyongia,ES,KE,,180,330,live,,T,C
2018,II,Kinyongia boehmei,Reptilia,Sauria,Chamaeleonidae,Kinyongia,GB,KE,,,100,live,,T,C
2018,II,Kinyongia boehmei,Reptilia,Sauria,Chamaeleonidae,Kinyongia,HK,KE,,,50,live,,T,C
2018,II,Kinyongia boehmei,Reptilia,Sauria,Chamaeleonidae,Kinyongia,JP,KE,,30,30,live,,T,C
2018,II,Kinyongia boehmei,Reptilia,Sauria,Chamaeleonidae,Kinyongia,TW,KE,,,90,live,,T,C
2018,II,Kinyongia boehmei,Reptilia,Sauria,Chamaeleonidae,Kinyongia,US,KE,,142,100,live,,T,C
2018,II,Kinyongia carpenteri,Reptilia,Sauria,Chamaeleonidae,Kinyongia,NL,CD,,,60,live,,T,W
2018,II,Kinyongia carpenteri,Reptilia,Sauria,Chamaeleonidae,Kinyongia,US,CD,,,75,live,,T,W
2018,II,Trioceros ellioti,Reptilia,Sauria,Chamaeleonidae,Trioceros,CZ,KE,,,40,live,,T,C
2018,II,Trioceros ellioti,Reptilia,Sauria,Chamaeleonidae,Trioceros,DE,KE,,310,255,live,,T,C
2018,II,Trioceros ellioti,Reptilia,Sauria,Chamaeleonidae,Trioceros,ES,KE,,177,330,live,,T,C
2018,II,Trioceros ellioti,Reptilia,Sauria,Chamaeleonidae,Trioceros,GB,KE,,,140,live,,T,C
